gun_name,gun_archetype,Source,Element ,gun_RoF,Rarity,weapon_type
Loud Lullaby,Aggressive,Moon,Kinetic,120,Legendary,hand_cannon
Pribina-D,Aggressive,Gunsmith,Kinetic,120,Legendary,hand_cannon
True Prophecy,Aggressive,World,Kinetic,120,Legendary,hand_cannon
Igneous Hammer,Aggressive,Trials,Solar,120,Legendary,hand_cannon
Bottom Dollar,Aggressive,Gambit,Void,120,Legendary,hand_cannon
The Steady Hand,Aggressive,BL Iron Banner,Kinetic,120,Legendary,hand_cannon
Crimil's Dagger ,Aggressive,Iron Banner,Kinetic,120,Legendary,hand_cannon
Duke Mk. 44 ,Aggressive,World,Kinetic,120,Legendary,hand_cannon
Thin Line ,Aggressive,Tangled Shore,Void,120,Legendary,hand_cannon
Warden's Law,Aggressive ,Strike,Kinetic,120,Legendary,hand_cannon
Ancient Gospel ,Adaptive,Raid,Solar,140,Legendary,hand_cannon
Ten Paces ,Adaptive,World,Kinetic,140,Legendary,hand_cannon
Kindled Orchid ,Adaptive,BA Forge,Void,140,Legendary,hand_cannon
Nation of Beasts ,Adaptive,Raid,Arc,140,Legendary,hand_cannon
Fatebringer,Adaptive,Raid,Kinetic,140,Legendary,hand_cannon
Finite Impactor ,Adaptive,Iron Banner,Arc,140,Legendary,hand_cannon
Palindrome ,Adaptive,Strikes,Void,140,Legendary,hand_cannon
Austringer,Adaptive,Menagerie,Kinetic,140,Legendary,hand_cannon
Better Devils ,Adaptive,Crucible,Kinetic,140,Legendary,hand_cannon
The Old Fashioned,Adaptive,World,Kinetic,140,Legendary,hand_cannon
Rose ,Adaptive,Quest,Kinetic,140,Legendary,hand_cannon
Spare Rations,Adaptive,Reckoning,Kinetic,140,Legendary,hand_cannon
Waking Vigil ,Adaptive,Dreaming City,Arc,140,Legendary,hand_cannon
Dire Promise,Adaptive,World,Kinetic,140,Legendary,hand_cannon
Jack Queen King 3 ,Adaptive,Obelisk,Arc,140,Legendary,hand_cannon
Not Forgotten,Precision,Quest,Solar,140,Legendary,hand_cannon
Luna's Howl ,Precision,Quest,Solar,140,Legendary,hand_cannon
Optative ,Precision,Vex Offensive,Void,180,Legendary,hand_cannon
Survivor's Epitaph ,Precision,Crucible,Kinetic,180,Legendary,hand_cannon
Posterity,Precision,Raid,Arc,180,Legendary,hand_cannon
